HALLMARK_NAME,PROCESS_CATEGORY,COLOR
HALLMARK_APICAL_JUNCTION,CELLULAR_COMPONENT,#e41a1c
HALLMARK_APICAL_SURFACE,CELLULAR_COMPONENT,#e41a1c
HALLMARK_PEROXISOME,CELLULAR_COMPONENT,#e41a1c
HALLMARK_ADIPOGENESIS,DEVELOPMENT,#377eb8
HALLMARK_ANGIOGENESIS,DEVELOPMENT,#377eb8
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,DEVELOPMENT,#377eb8
HALLMARK_MYOGENESIS,DEVELOPMENT,#377eb8
HALLMARK_SPERMATOGENESIS,DEVELOPMENT,#377eb8
HALLMARK_PANCREAS_BETA_CELLS,DEVELOPMENT,#377eb8
HALLMARK_DNA_REPAIR,DNA_DAMAGE,#4daf4a
HALLMARK_UV_RESPONSE_DN,DNA_DAMAGE,#4daf4a
HALLMARK_UV_RESPONSE_UP,DNA_DAMAGE,#4daf4a
HALLMARK_ALLOGRAFT_REJECTION,IMMUNE,#984ea3
HALLMARK_COAGULATION,IMMUNE,#984ea3
HALLMARK_COMPLEMENT,IMMUNE,#984ea3
HALLMARK_INTERFERON_ALPHA_RESPONSE,IMMUNE,#984ea3
HALLMARK_INTERFERON_GAMMA_RESPONSE,IMMUNE,#984ea3
HALLMARK_IL6_JAK_STAT3_SIGNALING,IMMUNE,#984ea3
HALLMARK_INFLAMMATORY_RESPONSE,IMMUNE,#984ea3
HALLMARK_BILE_ACID_METABOLISM,METABOLIC,#ffff33
HALLMARK_CHOLESTEROL_HOMEOSTASIS,METABOLIC,#ffff33
HALLMARK_FATTY_ACID_METABOLISM,METABOLIC,#ffff33
HALLMARK_GLYCOLYSIS,METABOLIC,#ffff33
HALLMARK_HEME_METABOLISM,METABOLIC,#ffff33
HALLMARK_OXIDATIVE_PHOSPHORYLATION,METABOLIC,#ffff33
HALLMARK_XENOBIOTIC_METABOLISM,METABOLIC,#ffff33
HALLMARK_APOPTOSIS,PATHWAY,#a65628
HALLMARK_HYPOXIA,PATHWAY,#a65628
HALLMARK_PROTEIN_SECRETION,PATHWAY,#a65628
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,PATHWAY,#a65628
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,PATHWAY,#a65628
HALLMARK_E2F_TARGETS,PROLIFERATION,#f781bf
HALLMARK_G2M_CHECKPOINT,PROLIFERATION,#f781bf
HALLMARK_MYC_TARGETS_V1,PROLIFERATION,#f781bf
HALLMARK_MYC_TARGETS_V2,PROLIFERATION,#f781bf
HALLMARK_P53_PATHWAY,PROLIFERATION,#f781bf
HALLMARK_MITOTIC_SPINDLE,PROLIFERATION,#f781bf
HALLMARK_ANDROGEN_RESPONSE,SIGNALING,#ff7f00
HALLMARK_ESTROGEN_RESPONSE_EARLY,SIGNALING,#ff7f00
HALLMARK_ESTROGEN_RESPONSE_LATE,SIGNALING,#ff7f00
HALLMARK_IL2_STAT5_SIGNALING,SIGNALING,#ff7f00
HALLMARK_KRAS_SIGNALING_UP,SIGNALING,#ff7f00
HALLMARK_KRAS_SIGNALING_DN,SIGNALING,#ff7f00
HALLMARK_MTORC1_SIGNALING,SIGNALING,#ff7f00
HALLMARK_NOTCH_SIGNALING,SIGNALING,#ff7f00
HALLMARK_PI3K_AKT_MTOR_SIGNALING,SIGNALING,#ff7f00
HALLMARK_HEDGEHOG_SIGNALING,SIGNALING,#ff7f00
HALLMARK_TGF_BETA_SIGNALING,SIGNALING,#ff7f00
HALLMARK_TNFA_SIGNALING_VIA_NFKB,SIGNALING,#ff7f00
HALLMARK_WNT_BETA_CATENIN_SIGNALING,SIGNALING,#ff7f00
