X,A443654,Abemaciclib,Afatinib,AGI-6780,Azacitidine,AZD4547,AZD8055,BAY11-7082,BEZ-235,BGJ398-Nov,BGJ398-NVP,Birinapant,Bleomycin,Bortezomib,Bosutinib,Bupalisib,Busulfan,BYL719,Caffeic APE,Camptothecin,CDK1_2III,Celastrol,Cisplatin,Crizotinib,Cyclopamine,Dasatinib,Decitabine,Dovitinib,Doxorubicin,Epirubicin,Erlotinib,Etoposide,Everolimus,Fedratinib,FiveFU,Fludarabine,Gefitinib,Gemcitabine,I-BET,Ifofosfamide,Imatinib,INC280,Irinotecan,IWP-L6,JQ1,JSH23,K03861,L-685458,Lapatinib,LCL161,LY294002,Masitinib,Methotexate,MHY1485,Mitomycin C,MK2206,Momelotinib,Mycophenolate Mofetil,Nilotinib,Nutlin-3,NVP-AEW541,Olaparib,Omipalisib,Oxaliplatin,Paclitaxel,Pacritinib,Palbociclib,Panobinostat,PD0325901,PD318088,PD98059,PHA665752,PLX4720,QNZ,RAF265,Rapamycin,RG108,Ribociclib,RO3306,Ruxolitinib,Saracatinib,SB202190,SB203580,Selumetinib,SH-4-54,Sorafenib,SP600125,Staurosporine,Sunitinib,TAE684,TAK733,Tanespimycin,Tofacitinib,Topotecan,Trichostatin,Vandetanib,Vincristine,Vinorelbine tartrate,Vismodegib,Vorinostat
HuCCA-1,-0.08471844,0.09970544,-1.580546317,0,-0.424912112,0.144342881,-0.04110633,-0.528703168,0.579119013,-0.031590573,0.228693282,0.126144209,-0.6705094,0,-0.763266174,-0.345213839,0,-0.535613724,-0.147338963,0,-0.047738418,-0.284065785,-0.216097271,0.012534718,0,0,0.019855131,0.056297757,-0.65690562,0.208905768,-1.557111447,0.078084373,0,0.303241156,0.603670821,0.012248194,-1.732770488,2.808833103,0,0,0.013208261,0,-0.009625322,0,0.128078204,0,0.399418315,0,-1.225773216,-0.24318376,-0.388545582,0.211818398,2.165956075,0,-0.032723059,0,-0.230780486,-0.616748959,0,0.087338216,0.243173861,0,-0.399203683,-0.079541361,-0.237326704,0.246032088,0.241575306,0.500388197,-1.603320675,-1.494062809,0,0.028203889,0,0,-0.138962315,0,0,-0.246920027,-0.169891258,0,-0.515826986,0,-0.702112049,-1.792282191,-0.198073892,0,0,0.126062043,0.415538587,-0.267717712,-1.525698643,0.766590517,0,-0.31557521,0.051191666,-0.591724394,0.233923431,-0.335802977,-0.520899608,0.049715002
HuCCT-1,-0.124859228,-0.282196258,0.099073049,0,-0.003815867,-0.20764293,0.020573001,-0.030524391,-0.289751079,0.05597345,0.026339429,0.126144209,0.027452449,0,0.023019227,-0.032502224,0,0.112053576,0.005362128,0,-0.008170114,-0.291250679,0.3280161,-0.052878262,0,1.248516727,0.019855131,0.064580981,0.120033166,-0.088462242,0,0,0,0,-0.788033158,-0.40109852,0,-0.164640497,-0.685578316,0,-0.014818286,0,-0.180650808,0,-0.498522169,0,0.051568943,0,0.054349758,0,0,-0.032365231,0,0,0.652062956,0,-0.09531882,0.00061588,0,0.012853595,0,0,0.308733652,-0.19567227,-0.307986865,-0.023511379,-0.36059918,0.089873608,-0.724257973,-0.611863555,0,0.040205604,0,0,0.034419435,0,0,0.153216123,-0.048966856,0,0.598705835,0,0,-0.349404499,-0.117963592,0,0,0.020632122,-0.112898616,0.078758653,0.116360486,-0.090394202,0,0.117610055,-0.009854622,0.009077016,-0.119098044,0.244257649,0,0
HuH-28,-0.218260878,0,-0.220049974,0,0.417714052,-0.702554256,0.605909695,-0.902671863,0.653677811,-2.565595699,-0.429307118,0,0.257516493,0,-0.239727358,-0.070528516,0,-0.367775576,-0.105729438,0,-0.075535302,-0.225877353,-0.395464565,-0.155819246,0,-0.521585405,0.019855131,-0.548252268,-0.675897409,-0.710156805,0,-0.746113592,0,-0.25191821,0.412261604,0.153180079,0,-0.201466854,-0.272547037,0,0.013208261,0,-0.458489066,0,-0.49376981,0,-0.007295333,0,0.005221587,-0.963350361,0,0.192806062,0.081871934,0,-0.884728589,0,-0.672938207,0.565594106,0,-0.175887834,0.053989332,-0.751790577,-0.029094303,-0.204643289,0.053168716,-0.145878627,0.873307126,0.07340476,0.100630615,0.048277749,0,0,0,0,0.034419435,0,0,-0.735261338,0.090077169,-0.355524711,-0.002629516,0,0,-0.612086683,-0.177525557,0,0,-0.217157608,-0.261053285,-0.604008142,0,-0.427617354,-0.128949771,-0.31557521,0.503228495,-0.618661012,-0.388297504,-0.230929881,0,0.09892971
KKK-D068,0.061460746,0.313851375,0.019284925,0,0.334929068,-0.106538812,0.251311956,0.132280806,0,0.004771483,-0.173485069,-2.884155747,-0.445481201,0,0.260800709,0.0204404,0,0.112053576,0,0,0.122302898,0.048937738,0.434010051,-0.445026349,0,0.724948592,-0.278858086,0,-0.509627353,0.093999437,0,0.042634676,0,-0.093177016,-0.242717608,-0.533640104,0,-0.201466854,0.095199139,0,0.013208261,0,0.132590707,0,-0.098470607,0,0.091501699,0,0.203002747,-2.476471047,0,0.178084006,0.562155209,0,0.449185199,0,0.03762088,-0.0006176,0,0.078953431,0.127706266,0,0.511827308,0.221437162,0.169890977,-0.041372604,0.869182878,-0.047163656,0.009845224,0.138997466,0,-0.022148216,0,0,-1.353353881,0,0,0.454033064,0.118506578,0,0.598705835,0,-0.009895854,0.634946821,-0.14709365,0,0,-0.217157608,0.036361089,0,1.36592423,0.644581809,0,0.145989224,0.318620721,0.276289521,-0.132509211,-0.335802977,0,0.007488203
KKK-D131,0.048735987,-0.331071416,0.219429466,0,0.325513578,0.144342881,-0.333876917,0.405515855,-0.658515875,0.269185662,0.28203786,-0.154539801,0,0,0.16691016,0.175326468,0,0.112053576,0.005362128,0,-0.097232251,-0.114537229,0.447005718,0.1023625,0,-0.169603035,-0.216763279,-0.315063351,-0.304352102,0.125886669,0,0.191898648,0,0.073279871,-0.434827671,-0.532053284,0,0.225926604,-0.188606701,0,-0.07266087,0,-0.416593996,0,0.061790105,0,-0.044386407,0,0.122684823,0,0,0.024021163,-0.299658557,0,0.802295857,0,-0.242608502,0.288047226,0,0.087338216,0.126398829,0,0.34491804,0.017388316,0.113988354,-0.279201916,-0.379560421,-0.207123564,0.039650947,0.225605407,0,0.283702816,0,0,0.034419435,0,0,0.042961189,0.291477474,0,0.582840411,0,-0.10593905,0.22971722,0.070466645,0,0,0,0.415538587,0.110942345,-0.237839067,1.296081737,0,-0.040391701,0.128866902,0.451355949,0,-0.014583488,0,0.00114784
KKK-D138,-0.159273977,-0.451049085,-0.009997605,0,-0.215963738,-0.948258341,-0.144267962,0.310191196,-0.398602745,-1.171717464,-0.847446525,0.126144209,-0.123957101,0,-0.141957839,0.014933679,0,-0.629685903,0.005362128,0,0.094829359,0.09259134,-0.530289143,-0.118363384,0,-0.298038266,0,-0.31329508,0.238691344,0.204983678,0,0.547703435,0,-0.070402784,-0.036807677,0,-0.117321042,-0.201466854,0.232864255,0,-0.007992517,0,-0.176861723,0,0.128662289,0,0.075840868,0,0,0,0,-0.092363089,-0.047980226,0,-0.138622518,-0.152147243,-0.172120168,0,-0.163507953,0.087338216,-0.263305995,-0.047294307,-0.281867272,-0.212883089,-0.188369673,-0.154070198,0.318701796,0,-0.858346421,-0.596980451,0,-0.072485897,0,0,-0.973189296,0,0,-0.342208586,-0.138834208,0,-0.329324957,0,-0.157572669,-0.695772018,0.070466645,0,0,-0.01412454,-0.303310762,-0.090160572,-1.644375727,0,0,0,0.046294473,-0.171010791,0.45037845,-0.005896675,0,-0.012273201
KKU-055,-0.158378866,0.684327298,0,0,0.113590419,-1.110330542,-0.023484321,-1.050903533,0.042335296,-0.280710986,-0.972323077,-0.091124697,-0.620151249,0,0.147722534,-0.067100436,0,0.112053576,-0.340780498,0,0.059079984,-0.319963221,-0.179413435,-0.682912237,0,1.187632345,-0.332635691,-0.560524908,-0.675897409,-0.043687468,0,-0.2369458,0,-0.175575802,0.603670821,0.221897585,0,0.045667945,0.756307109,0,0.013208261,0,-0.578772862,0,0.947944568,0,-0.035004163,0,0.053536198,0,0,-0.059689902,-0.569501801,0,-0.836138031,0,0.028768276,0.015672131,0,0.087338216,0.355980948,-0.639656692,1.062821721,0,0.389850312,-0.196181318,0.873307126,0.177525903,1.406979282,0.695582933,0,-0.262615579,0,0,-1.201066316,0,0,0.454033064,0,0,0.209360196,0,0,0.752051523,-0.328312677,-0.023094403,0,0.122873439,-0.618954868,-0.232891403,1.106024879,-0.10499262,0,-0.31557521,0,0.2377745,-0.388297504,-0.335802977,0,0.017495909
KKU-100,0.291889615,0.017292066,0.271386954,0,0.388680355,0.144342881,-0.13124198,-0.25377637,-0.658515875,0.444704257,-0.103600778,-1.211863045,-1.097326224,0,0,-0.150093861,0,-0.015895708,0.005362128,0,-0.028022898,0.157637419,-0.666396033,0.001914508,0,0.00447119,0.019855131,0.196576356,-0.411333512,-0.00872756,0,-0.514089846,0,0.271342911,0.603670821,0.221897585,0,-0.201466854,0.313318656,0,-0.074898479,0,-0.398963255,0,0.201572133,0,0.327444385,0,0.139372891,0,-0.118942367,-0.049875964,0.256635404,0,-0.884728589,-0.173950663,0.020519588,-0.751416528,0,-0.77756921,-0.246439051,-0.220067832,0,-0.704618283,-0.405607264,0.267967691,0.323918225,-0.222445665,0,-0.569855457,0,0.001801038,-0.342040099,0,-1.383977349,0,0,0.441799665,0.13267538,-0.195411904,0.288394184,0,-0.137443679,0.436893306,-0.144157583,0,0,-0.217157608,0,0.181045963,0.144936897,-0.232525837,0,-0.31557521,-0.139279597,0.283127033,0.131535531,0,0,-0.144454515
KKU-156,0.238165487,-0.242260195,-0.168080776,0,-0.200694148,0,-0.105792738,-0.077897441,-0.283776672,0,-0.054669029,-1.532643452,0.822173996,0,-0.339911547,0.080779043,0,0,-0.14200653,0,0.49703022,0.052987372,0.360409806,0,0,-0.051737253,-1.041703661,0.359435288,0.041652496,0,-0.022516503,0.127164676,0,-0.108033368,0,-0.492592049,-0.434826399,0.193460145,-0.287866564,0,-0.063579954,0,0.155375084,0,-0.202577975,0,-0.10244785,0,-0.339709084,-0.098901697,0,-0.092411831,-0.005065107,0,0.637930364,-0.012512614,0.046863536,-0.245493288,-0.369970251,-0.035293047,-0.290682453,0,0.301531362,0.270123635,-0.430918192,-0.226932092,0,-0.016362505,-0.087423224,0,0,0.054747971,0,0,0.034419435,0,0,-0.038434104,-0.047970005,0,-0.537854991,0,0,0,0.054513872,0,0,-0.217157608,-0.095082755,0.302875067,-0.697249177,1.194094538,0,0.438931566,-0.002896964,-0.139779264,-0.167183124,-0.122633378,-0.719877052,-0.105849682
KKU-213,0.002919637,0.352015883,-0.102937971,0,-0.655510215,-0.090042022,0.261101342,0.398178521,0.384343512,-0.09550412,0,-1.800833169,1.011370021,0,-0.48704754,0.227659092,0,-0.046717358,-0.045301798,0,0.419188831,0.013848011,0.4062041,-0.177773612,0,-0.296868794,-0.686886536,0.172616851,-0.208276976,-0.195978172,-0.065401056,-0.397083887,0,-0.059159651,-0.060890064,-0.106946491,-0.247765719,0.115469543,-0.311965248,0,-0.235253327,0,0.12587101,0,-0.158488381,0,-0.045414799,0,-0.178845966,-0.142187015,0,-0.28872237,-0.559126563,0,0.528395704,0,0.023842945,0.166342187,-0.316813954,-0.067860745,-0.303803038,0,-0.187168039,0.149267315,0.075952978,0.040445294,0.265544514,-0.129904808,-0.488035216,-0.295704471,0,-0.005104564,0,0,-0.367574119,0,0,0,-0.034129038,-0.043191885,-0.319725094,0,0,-0.647593996,0,0,0,0.18160933,-0.194833833,0.076635334,-0.547391693,1.035032326,0,0.030486707,-0.135095257,-0.021655716,-0.204748879,0.09747377,0,-0.173904891
KKU-214,0,0.124337015,-0.282569967,0,-0.169290709,-0.012738819,0.293557633,0.425716591,0.235618706,-0.071516468,-0.040225568,-0.766660101,0.941037885,0,-0.498961365,0,0,0.041147248,-0.090855417,0,0.576198469,-0.096486611,0.471283149,-0.147719017,0,-0.039837605,-0.359556788,-0.36708573,0,-0.101318163,-0.144575351,-0.147539376,0,-0.048084454,0.466398388,-0.283052002,-0.814387613,0.052373872,-0.29898279,0,-0.098420754,0,0.195142569,0,-0.007732702,0,-0.000845741,0,-0.134762751,0,0,-0.090436956,-0.3578325,0,0.615289861,0,-0.007769825,-0.008278625,-0.272305131,0,-0.267453635,0,0.197412104,0.308756627,-0.222751881,0.041093446,-0.19012134,0.025200228,-0.345387984,-0.09002205,0,0.000108201,0,0,0.034419435,0,0,-0.003150504,0.040962098,0,-0.58629115,0,0,-0.219621,-0.076784713,0,0,-0.15878811,-0.419375878,-0.09825853,-1.210708082,0.727733001,0,0.211424262,-0.010183175,-0.129663848,-0.291084415,0.306318106,0,-0.049778694
RBE,-0.062381699,-0.510134758,0.040352049,0,-0.054265831,0.131892941,0.1493187,-0.050413982,0.172901199,0.38583679,0.214930261,0.126144209,-0.451950779,0,-0.088910275,0.168078529,0,0.112053576,-0.037329794,0,0,-0.315237067,0,0.061745268,0,-0.784847135,0.019855131,0.09414248,0.025522311,0.103510033,0,-0.204249561,0,0.151930853,0.143468969,0.172142125,-0.037849714,-0.201466854,-0.012520111,0,0,0,0.091020554,0,-0.198110898,0,0.232088446,0,-0.060403164,0,0,0.119299813,0.008473879,0,0.116559558,0,-0.001397952,0.078439653,0,-0.665791738,0.120777702,0,0.435088256,-0.625733422,0.396671295,0,-0.605884947,0.373562228,-0.744594129,-0.762882569,0,-0.175994667,0,0,0,0,0,-0.343449399,-0.099592903,0,-0.673972048,0,-0.319101441,-1.152747223,0.070466645,0,0,-0.217157608,0.179668458,0.277359614,-1.045144952,1.092063121,0,-0.129228092,0.148501077,-0.055521002,0.674214622,0.709474556,0,-0.109745564
SSP-25,-0.065710917,-0.127589697,0.099740723,0,0.202918583,0.00153158,0.159788681,0.56515521,0.103810676,-0.023325058,0.15207397,0.126144209,-0.779746246,0.266257383,0.089388895,-0.039404218,0,-0.053041464,0.005362128,0,-0.194863131,0.104684608,-0.125790802,0.017260757,0,0.098779733,0.019855131,0.168302648,0.136096404,-0.018792396,0,0.207014075,0,0.338254849,0.264075844,-0.111435475,0,-0.14433586,0.097542476,0,0.013208261,-0.091772325,0.201112435,0,0,0,0,0,-0.121746744,0,-0.032378402,0,0.933991325,0,-0.146231111,0,0.086138494,0.288361927,0,-0.039414321,-0.190938452,0,-0.042832587,0.174641543,-0.11291661,0.173229576,-0.259602042,-0.027893727,1.406979282,0.695582933,0,-0.042081728,0,0,0.034419435,0,0,0.181629604,-0.061938649,0,0,0,0,0.752051523,0.070466645,0,0,0.133176566,0.133797192,0.084924893,1.36592423,-0.091669203,0,0.133882297,-0.126263127,0.052851947,0.380808035,0.254909471,0,0.019480898
TFK-1,0.202748682,0.083848293,0.393388854,0,0,0.144342881,-0.090813242,0.245059279,-0.250512578,0.444704257,0.28203786,0.126144209,1.161312151,0,0.047887249,0.097090413,0,0.112053576,0.005362128,0,-0.057287134,0.25875901,0.053032789,0.021946845,0,0.012403545,-0.713049977,-0.11914769,0.131025067,0.191056941,0,-0.065087953,0,0.322520895,-1.121789101,0.221897585,0,0,0.192581683,0,0.013208261,0,0.062134208,0,0.083074547,0,-0.023909079,0,0.084759553,0,0,0.171390207,-0.094625272,0,-0.523416521,0,0.121976188,-0.291350806,0,0.087338216,-0.197030778,0,-0.399203683,0.003317946,0,0.100190498,-0.369358638,0.332811038,1.406979282,0.695582933,-0.040584788,-0.310496376,0,0,-0.213109457,0,0,0.256589988,0.191195125,0,0.284094695,0,0,0.752051523,0.070466645,0,0,0.703161014,0.065029934,-0.023729227,1.337885326,-0.295468379,0,0.179876661,0.234905027,0.19759174,0.385280895,0.565963506,0,0.009954927
YSCCC,0.338864865,-0.11521967,-1.065587848,-0.037928622,0.417714052,0.144342881,0,0,-0.658515875,0.444704257,0.28203786,0.126144209,0.294784506,0,0.211361866,-0.069839579,0,-0.356533404,0.005362128,0,0.763942424,0,-0.05714928,0.180091876,0,0.186830171,0.019855131,-0.007656887,0.310271886,0.273438181,-0.675238097,0.278436605,0,0.509486017,-0.1396651,0.221897585,-1.344619481,0.897353852,0.1669586,0,0.013208261,0,0,0,0.084394227,0,0.385806536,0,-0.851973186,0,-0.167622467,0.175445907,0.812491687,0,0,-0.326173378,0,-0.23956244,0,-0.372857196,0.103764716,0,-0.110831085,-0.436802498,0.079125298,0.174653448,-0.648771973,-0.189255421,0.372491813,0.333784359,0,0.097957923,0,0,0.034419435,0,0,-0.05829916,0.08738134,0,0.209287274,0,0,0.023946635,0.070466645,0,0,0.044137337,0.159844857,-0.17436188,0.930663955,-0.015492411,0,-0.159673219,-0.117939661,0,0.321811198,0.533065473,0,-0.320810146
